ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,PricePrediction
6647,Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,Vanusn ,1431,3.0,2.0,65.0,69.066796875
8606,Super built-up  Area,Ready To Move,Shanti Nagar,2 BHK,SwionMa,1130,2.0,,74.0,69.09375
119,Plot  Area,Ready To Move,Hennur Road,2 Bedroom,,276,3.0,3.0,23.0,51.40625
5653,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1221,3.0,3.0,52.0,66.50602678571428
3015,Super built-up  Area,18-Apr,Electronics City Phase 1,3 BHK,Shitt S,1595,3.0,2.0,75.0,70.2934375
5698,Super built-up  Area,Ready To Move,Attibele,2 BHK,Inenshe,695,1.0,1.0,25.0,27.40625
856,Super built-up  Area,Ready To Move,Kothannur,3 BHK,,1853,3.0,2.0,82.0,96.95833333333333
4024,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,GMilse ,1325,2.0,1.0,70.0,69.69546875
6424,Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1260,2.0,2.0,59.2,58.82218750000002
7644,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,39.9,38.39348958333334
4597,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1115,2.0,1.0,60.0,51.7075
10220,Built-up  Area,Ready To Move,Remco Bhel Layout,2 BHK,,1220,2.0,0.0,56.0,59.24950520833333
8101,Super built-up  Area,Ready To Move,2nd Stage Arekere Mico Layout,3 BHK,BrriaLu,2095,3.0,2.0,142.0,135.78125
5579,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1120,2.0,3.0,53.0,50.598125
1921,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,101.0,102.32998511904763
10256,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1179,2.0,1.0,51.0,51.90562499999999
563,Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,2225,3.0,1.0,160.0,163.07291666666666
8432,Plot  Area,Ready To Move,Kadubeesanahalli,4 Bedroom,,3293,5.0,2.0,425.0,365.1171875
1433,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1156,2.0,2.0,46.0,46.060282738095246
4453,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,NDpalSe,1146,2.0,3.0,55.0,56.44895833333334
7370,Plot  Area,18-May,Kasavanhalli,4 Bedroom,,4260,4.0,2.0,333.0,362.15625
608,Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,37.0,38.489981301759826
4269,Plot  Area,Ready To Move,Mahadevpura,5 Bedroom,,3295,4.0,2.0,260.0,276.09375
8861,Plot  Area,Ready To Move,Kenchenhalli,4 Bedroom,,1350,4.0,1.0,90.0,103.25
10322,Built-up  Area,Ready To Move,Hebbal,3 BHK,Thuse F,1590,3.0,2.0,96.0,91.8125
10412,Super built-up  Area,18-Sep,Hebbal,2 BHK,Arcia S,1162,2.0,1.0,69.0,65.40520833333333
3557,Super built-up  Area,Ready To Move,Dollars Colony,4 BHK,,3100,5.0,1.0,385.0,361.10546875
2840,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1295,2.0,1.0,59.5,59.50916666666666
1068,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,2400,8.0,3.0,450.0,470.9375
4710,Super built-up  Area,Ready To Move,Singasandra,3 BHK,,1464,3.0,2.0,56.0,56.59375
1594,Plot  Area,Ready To Move,Sarjapur,4 Bedroom,,1200,5.0,2.0,110.0,132.625
6485,Super built-up  Area,Ready To Move,Ejipura,3 BHK,Emsic C,2070,3.0,3.0,135.0,134.8125
6234,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1680,3.0,3.0,105.0,108.0865625
8430,Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 2hu,400,1.0,1.0,11.5,12.08095238095238
2183,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Frides ,1110,2.0,3.0,53.0,50.474375
4023,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2.0,1.0,86.0,91.38705357142857
9834,Super built-up  Area,18-Jul,Sarjapur  Road,3 BHK,PualeSk,1700,3.0,2.0,93.5,100.50406249999999
6395,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1220,2.0,3.0,88.0,74.935625
450,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,1.0,55.47,56.01312500000002
8024,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Concyvi,1308,2.0,1.0,60.0,63.546875
293,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2.0,1.0,98.2,97.97156249999998
9110,Plot  Area,18-May,"Ananthapura, T C palaya Main Road",2 Bedroom,,680,3.0,2.0,60.0,59.84375
5532,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Iseenst,1227,2.0,2.0,53.49,59.66618489583334
1121,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1100,2.0,1.0,38.0,40.5153125
7034,Super built-up  Area,Ready To Move,Gunjur,3 BHK,Paestol,2132,3.0,3.0,80.0,97.59375
10050,Super built-up  Area,18-Jun,Old Madras Road,5 BHK,Brica E,4500 - 5540,7.0,0.0,287.0,336.3802083333333
3562,Plot  Area,Ready To Move,Goraguntepalya,4 Bedroom,,1200,4.0,1.0,150.0,134.84375
10063,Super built-up  Area,Ready To Move,Veersandra,2 BHK,Shnto F,1250,2.0,1.0,55.0,52.96875
9957,Plot  Area,18-Apr,Attibele,3 Bedroom,Goe 2me,1000,3.0,1.0,90.0,96.09375
9557,Super built-up  Area,Ready To Move,Anjanapura,3 BHK,,1843,3.0,1.0,87.54,96.41079352678571
9088,Super built-up  Area,Ready To Move,Hormavu,3 BHK,VMityre,1420,3.0,2.0,58.0,61.798359375000004
4192,Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,SSonsvi,1640,3.0,3.0,88.0,84.96875
4354,Built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Saire S,1150,2.0,3.0,48.0,50.40625
3254,Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1280,2.0,1.0,60.0,60.434374999999996
9612,Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,3496,4.0,,262.0,263.375
8746,Super built-up  Area,Ready To Move,Panathur,3 BHK,Prcesvy,1713,3.0,1.0,120.0,115.4375
3646,Plot  Area,Ready To Move,Kumara Park,4 Bedroom,,2700,6.0,,675.0,658.28125
8731,Super built-up  Area,18-Apr,EPIP Zone,3 BHK,BrontLa,2350,4.0,2.0,163.0,188.25
9382,Built-up  Area,Ready To Move,Mysore Road,1 BHK,,500,1.0,1.0,17.5,18.53125
10334,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303,2.0,2.0,55.78,52.88008556547619
5218,Built-up  Area,Ready To Move,Ambalipura,4 BHK,SJodsed,2550,4.0,2.0,149.0,155.04166666666669
5058,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,4.0,1.0,310.0,271.2812946428571
2692,Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Cerdsga,1080,2.0,0.0,53.35,50.53749999999999
6954,Built-up  Area,Ready To Move,JP Nagar,3 BHK,,1452,2.0,1.0,41.0,45.893437500000005
1195,Plot  Area,Ready To Move,Chokkanahalli,1 Bedroom,,1200,1.0,1.0,28.0,37.53125
4772,Super built-up  Area,Ready To Move,Near ullas theater,3 BHK,,1900,3.0,2.0,205.0,177.1875
6577,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,2.0,155.0,147.92968749999997
500,Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,,720,2.0,1.0,45.0,48.244375000000005
7173,Built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1308,2.0,2.0,37.0,47.58125
2585,Built-up  Area,Ready To Move,Kammasandra,2 BHK,Puitea ,990,2.0,1.0,31.5,30.756874999999997
1825,Plot  Area,Ready To Move,Shivaji Nagar,7 Bedroom,,1400,6.0,3.0,200.0,181.6875
10598,Plot  Area,Ready To Move,Banashankari Stage VI,8 Bedroom,,1200,7.0,1.0,175.0,163.625
259,Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,3.0,2.0,170.0,207.65625
2360,Built-up  Area,Ready To Move,HMT Layout,3 BHK,,1700,3.0,,80.0,91.8125
10195,Built-up  Area,Ready To Move,Annapurneshwari Nagar,4 Bedroom,,2400,4.0,1.0,150.0,146.125
6808,Super built-up  Area,Ready To Move,Banashankari,1 BHK,,720,1.0,1.0,60.0,52.07812500000001
4553,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1200,2.0,1.0,93.0,85.5359375
3902,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1275,2.0,2.0,65.0,60.135625000000005
7659,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Stlomg ,1200,2.0,2.0,75.0,70.25260416666666
2963,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2.0,2.0,110.0,102.965
3231,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2409,3.0,2.0,360.0,373.9583333333333
8301,Super built-up  Area,18-May,Nagawara Junction,4 BHK,,3602,4.0,,280.0,295.36875
5875,Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,HoAcela,1500,3.0,2.0,125.0,98.0621875
582,Super built-up  Area,19-Dec,Hormavu,1 BHK,Kolisl ,715,1.0,2.0,46.0,43.7734375
1626,Super built-up  Area,19-Dec,Marathahalli,3 BHK,PrensKe,1469,3.0,1.0,89.0,86.21875
4480,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1272,2.0,2.0,48.0,50.992708333333326
1501,Super built-up  Area,Ready To Move,Kengeri,2 BHK,,1197,2.0,2.0,50.0,50.36385416666667
8864,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Apntsal,1150,2.0,1.0,42.0,49.966125000000005
2088,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Prthand,1250 - 1305,2.0,0.0,95.815,84.60359375000003
5094,Plot  Area,Ready To Move,Vaishnavi Layout,4 Bedroom,Prsisge,4830,5.0,1.0,390.0,410.46875
7918,Built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1333,2.0,1.0,104.0,102.65625
3527,Plot  Area,Ready To Move,Banashankari Stage III,8 Bedroom,,1200,7.0,2.0,350.0,269.65625
1578,Built-up  Area,Ready To Move,Yelahanka,6 Bedroom,,3770,6.0,3.0,110.0,136.09375
2861,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Teilsaf,1100,2.0,1.0,70.0,63.84875
3573,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Amivace,1457,2.0,2.0,85.0,77.298125
1330,Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,3467.86,6.0,3.0,249.0,288.109375
10611,Built-up  Area,19-Mar,"Panathur Road, ",1 BHK,,936,1.0,0.0,53.0,49.65625
1671,Built-up  Area,Ready To Move,Herohalli,5 Bedroom,,1800,6.0,0.0,44.5,52.875
6489,Super built-up  Area,18-Dec,Bannerghatta Road,2 BHK,Uncioe ,1268,2.0,1.0,69.0,68.26375
2753,Super built-up  Area,18-Apr,Marathahalli,2 BHK,,1102,2.0,2.0,53.67,54.22375000000002
9096,Super built-up  Area,18-May,Uttarahalli,3 BHK,DSera S,1525,2.0,2.0,62.82,59.95687499999999
1713,Built-up  Area,Ready To Move,HBR Layout,3 BHK,Peentn ,2800,2.0,0.0,200.0,223.65625
3582,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SruntFa,1127,2.0,1.0,68.0,66.441015625
10066,Built-up  Area,Ready To Move,Kaggadasapura,4 BHK,,2150,4.0,2.0,90.0,93.90625
6455,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1682,3.0,1.0,113.0,115.99374999999998
6438,Super built-up  Area,17-Dec,Yelahanka,2 BHK,Hotat H,1519,2.0,3.0,65.0,64.8009375
5601,Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1434,2.0,1.0,67.39,67.98750000000003
10338,Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,,610,3.0,1.0,60.0,61.65625
1886,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,PuendWe,1508,2.0,1.0,110.0,106.296875
4189,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Vastael,1500,4.0,3.0,200.0,214.90625
2932,Carpet  Area,Ready To Move,Sultan Palaya,3 BHK,,1700,3.0,3.0,120.0,119.96875
6301,Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1667,3.0,2.0,92.0,92.55359375
6069,Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,PualeSk,1700,3.0,2.0,93.5,100.50406249999999
7995,Super built-up  Area,Ready To Move,Domlur,3 BHK,,2180,3.0,2.0,285.0,264.281875
9260,Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,Saaksa ,1610,3.0,3.0,68.0,69.3609375
883,Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,PrarePa,1100,3.0,2.0,58.0,54.46082668199857
10529,Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,,1215,2.0,1.0,44.96,54.886093750000015
6367,Super built-up  Area,Ready To Move,Hennur Road,4 BHK,Samittv,2502,4.0,2.0,180.0,176.175
8134,Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Suise S,1145,2.0,1.0,41.21,44.531250000000014
565,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3.0,1.0,84.0,83.303125
7769,Super built-up  Area,22-Nov,Devanahalli,3 BHK,Sabixtt,1498,3.0,3.0,79.15,78.93562500000002
4721,Built-up  Area,Ready To Move,Padmanabhanagar,3 Bedroom,,4500,4.0,2.0,360.0,343.90625
5819,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1665,3.0,2.0,86.91,87.0814299242424
2935,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,MavarSa,1080,2.0,2.0,50.0,46.33625
9837,Super built-up  Area,15-Nov,Hennur Road,3 BHK,,1480,3.0,,100.0,94.34812500000001
7107,Super built-up  Area,Ready To Move,LB Shastri Nagar,1 BHK,Ciisera,665,1.0,2.0,32.0,34.67109375
3027,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,PrrvaPl,1560,2.0,2.0,62.4,68.88250000000002
765,Built-up  Area,Ready To Move,Old Airport Road,3 BHK,Trnce A,1875,2.0,2.0,110.0,110.09
3325,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1586,3.0,3.0,93.94,92.37437500000003
8055,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1149,2.0,2.0,65.0,63.187734375000005
9132,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,46.55,45.476974887092055
7211,Super built-up  Area,18-Mar,Electronic City,2 BHK,,1175,2.0,1.0,47.0,42.970000000000006
4867,Plot  Area,Ready To Move,SMV layout,3 Bedroom,,1200,3.0,0.0,140.0,105.0865625
1971,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530,3.0,2.0,57.0,63.07145833333334
4026,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1890,3.0,2.0,162.0,142.65104166666666
774,Built-up  Area,Ready To Move,HMT Layout,2 BHK,HMRWAyo,1105,2.0,2.0,58.0,51.504895833333336
747,Plot  Area,Ready To Move,Chelekare,1 Bedroom,,600,1.0,1.0,60.0,49.875
5284,Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,,3895,4.0,2.0,495.0,446.375
7474,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Jancyes,1244,3.0,,48.0,58.78625000000002
321,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.0,65.49365856281689
3387,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800,4.0,3.0,205.0,230.21875
426,Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590,3.0,2.0,79.0,79.5
427,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2.0,2.0,55.0,51.553125
6311,Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012,2.0,1.0,54.59,57.828282433712126
3396,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1296,2.0,3.0,89.06,84.00812499999998
4852,Super built-up  Area,Ready To Move,Rajarajeshwari nagar,3 BHK,,2000,3.0,2.0,85.0,85.46875
3721,Super built-up  Area,Ready To Move,Whitefield,3 BHK,BainePr,1545,3.0,2.0,79.0,81.03645833333333
10490,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1200,2.0,2.0,42.0,43.314375000000005
80,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,100.56338541666666
9675,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,69.0,66.31742392508163
1084,Super built-up  Area,Ready To Move,Canara Bank Layout,3 BHK,,1600,3.0,3.0,90.0,84.9390625
6022,Plot  Area,Ready To Move,3rd Block Hrbr Layout,4 Bedroom,,1200,3.0,1.0,210.0,177.1875
335,Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,58.0,68.42111607142859
1458,Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,GradeMR,1080,2.0,2.0,80.0,66.13624999999999
6153,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Prtates,1216,2.0,1.0,75.0,75.21529239344997
6061,Plot  Area,Ready To Move,Fraser town,6 Bedroom,,806,3.0,1.0,128.0,115.4375
9391,Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,600,2.0,1.0,85.0,80.3125
3658,Super built-up  Area,18-Mar,Hosakerehalli,2 BHK,SoageHe,1304,2.0,3.0,100.0,87.18593750000001
4170,Super built-up  Area,Ready To Move,P&T Layout,2 BHK,,1206,2.0,3.0,38.5,43.70625
10319,Super built-up  Area,19-Dec,Sarjapur  Road,1 BHK,AsastDe,691,1.0,1.0,31.1,35.15468750000001
5762,Plot  Area,18-Oct,Devanahalli,4 Bedroom,Amais V,2400,5.0,2.0,190.0,188.296875
2239,Plot  Area,Ready To Move,Ngef Layout,2 Bedroom,,3000,2.0,0.0,510.0,415.25
330,Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3.0,2.0,95.0,93.61979166666666
8603,Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1025,2.0,1.0,26.65,28.542356770833326
8742,Super built-up  Area,Ready To Move,JP Nagar,1 BHK,Shika A,745,1.0,0.0,34.27,38.05859374999999
6899,Plot  Area,Ready To Move,Sidedahalli,4 Bedroom,,882,3.0,0.0,72.0,81.9375
1486,Super built-up  Area,18-Apr,Maruthi HBCS Layout,3 BHK,,1250,3.0,3.0,39.5,41.8125
291,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2.0,2.0,44.0,43.86426299395049
4092,Super built-up  Area,18-May,Ramamurthy Nagar,2 BHK,,1150,2.0,2.0,51.0,50.350625
3295,Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1468,3.0,2.0,130.0,114.75593750000002
8500,Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119,4.0,3.0,111.0,111.4375
9279,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,AdestAs,1153,2.0,1.0,43.0,52.60312500000001
457,Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620,3.0,2.0,98.0,93.52578125
6187,Super built-up  Area,Ready To Move,Yelenahalli,3 BHK,,1500,2.0,2.0,57.0,61.1565625
10396,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,3.0,2.0,330.0,294.48958333333326
1877,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,55.0,54.9375
3749,Super built-up  Area,Ready To Move,Maithri Layout,2 BHK,,1134,2.0,1.0,40.0,44.52643749999999
7415,Built-up  Area,Ready To Move,Anandapura,2 Bedroom,,1200,2.0,0.0,58.0,59.15625
31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,45.09873615726802
3333,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,SVdhaig,1223,2.0,1.0,60.0,56.71968749999999
2075,Built-up  Area,Ready To Move,Ambalipura,2 BHK,SJodsed,1150,2.0,2.0,80.0,70.85
8138,Plot  Area,Ready To Move,Kothanur,4 Bedroom,,2700,4.0,2.0,175.0,188.25
6840,Super built-up  Area,Ready To Move,Electronic City,2 BHK,SriewGr,1017,2.0,2.0,27.0,29.463541666666664
9468,Super built-up  Area,Ready To Move,Gandhi Bazar,3 BHK,,1485,2.0,3.0,110.0,99.6875
5064,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Srayai ,1050,2.0,1.0,50.0,62.92734824290292
4808,Super built-up  Area,18-Aug,Anjanapura,2 BHK,,1070,2.0,2.0,37.0,37.533125
9074,Super built-up  Area,Ready To Move,GM Palaya,3 BHK,MSuntra,1315,3.0,0.0,64.0,63.82875
694,Super built-up  Area,Ready To Move,Prakruthi Nagar,2 BHK,MSvelek,1240,2.0,2.0,60.0,56.4759375
1413,Super built-up  Area,17-Nov,Babusapalaya,3 BHK,,1213,2.0,2.0,41.39,44.87062500000001
7608,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1728,3.0,2.0,125.0,119.29234375
10193,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,AlEcone,1950,2.0,,89.5,82.91968750000001
952,Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,EsniaGa,1500,2.0,2.0,95.0,80.508125
2375,Super built-up  Area,21-Aug,Electronics City Phase 1,2 BHK,,1150,2.0,2.0,39.0,43.338750000000005
6328,Built-up  Area,Ready To Move,Yelahanka,1 BHK,,651,1.0,1.0,17.5,24.11234375
3169,Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,,3250,4.0,,230.0,226.09375
795,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1400,2.0,2.0,77.0,76.53562500000001
7318,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Ozensve,1255,3.0,2.0,115.0,113.375
10217,Super built-up  Area,Ready To Move,Rammana Layout,3 BHK,,2000,3.0,2.0,100.0,102.09375
373,Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3.0,2.0,275.0,207.375
6987,Super built-up  Area,19-Feb,Chandapura,2 BHK,PavesGr,598 - 958,2.0,0.0,25.29,25.296718749999993
1983,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,AnncyRe,740,2.0,1.0,37.0,36.1025
2595,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1776.42,3.0,2.0,105.0,104.05739583333335
9120,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,37.0,45.09873615726802
7271,Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,,860,2.0,2.0,65.5,59.3903125
1617,Plot  Area,Ready To Move,Chikkabanavar,3 Bedroom,,1600,2.0,0.0,80.0,87.65625
6550,Super built-up  Area,Ready To Move,Thyagaraja Nagar,5 BHK,,2000,4.0,2.0,145.0,137.59375
169,Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,72.03125
1285,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SLourle,1542,2.0,3.0,85.0,79.71140625
1851,Super built-up  Area,Ready To Move,Belatur,2 BHK,Kehts H,1260,2.0,2.0,58.0,58.6353125
2145,Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1035,2.0,1.0,45.0,44.6040625
10120,Super built-up  Area,Ready To Move,Shivaji Nagar,3 BHK,FBazaah,1300,3.0,2.0,170.0,140.09375
1905,Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,,1480,3.0,2.0,90.0,90.40625
9092,Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,,1067,2.0,3.0,33.99,33.73254985119048
7584,Super built-up  Area,18-Jul,Whitefield,1 BHK,Prtates,905,1.0,1.0,60.0,56.77321428571429
3279,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2350,3.0,2.0,174.0,184.3934375
5125,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,,1420,2.0,2.0,60.0,59.3125
2310,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,361.33Sq. Yards,4.0,,270.0,245.28125
4898,Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,,1230,2.0,2.0,53.51,50.53843749999999
4730,Super built-up  Area,18-Aug,Hennur Road,3 BHK,Puachal,1804,3.0,2.0,102.0,107.90625
4929,Plot  Area,18-May,Yemlur,8 Bedroom,Epllan ,12000,9.0,,1900.0,1761.5625
2485,Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1825,3.0,1.0,105.0,102.85874999999999
8785,Built-up  Area,Ready To Move,Kengeri,2 BHK,,883,2.0,0.0,49.0,46.2921875
3609,Super built-up  Area,Ready To Move,Koramangala Industrial Layout,16 BHK,,10000,16.0,,550.0,565.9375
2150,Super built-up  Area,19-Dec,Bannerghatta Road,1 BHK,Hiatei ,595,1.0,1.0,31.83,32.94985937500002
315,Plot  Area,Ready To Move,Srirampura,5 Bedroom,,1200,5.0,2.0,180.0,164.03125
7649,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,AnentAp,1496,2.0,3.0,78.0,78.90625
7861,Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,2000,4.0,2.0,138.0,135.125
4149,Super built-up  Area,18-Jan,Roopena Agrahara,3 BHK,,1300,3.0,2.0,47.0,51.5794375
5176,Plot  Area,Ready To Move,Anandapura,4 Bedroom,,1749,4.0,0.0,90.0,120.21875
8347,Built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1645,3.0,,95.0,96.03125
6669,Super built-up  Area,Ready To Move,Hoodi,3 BHK,,1490,3.0,2.0,79.0,78.15593750000001
3375,Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,,2400,2.0,1.0,150.0,143.95833333333334
1662,Super built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1000,2.0,1.0,28.88,28.626250992063493
5169,Super built-up  Area,Ready To Move,Kuvempu Nagar,1 BHK,,450,1.0,1.0,25.0,21.895833333333332
4588,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1260,2.0,2.0,53.0,62.0228125
5508,Super built-up  Area,Ready To Move,Hennur,2 BHK,MDncyhi,1041,2.0,2.0,40.6,42.92749999999999
6664,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maionra,2520,3.0,2.0,150.0,185.45833333333334
2458,Built-up  Area,Ready To Move,Hennur Road,3 BHK,Asadacy,2160,3.0,2.0,160.0,141.66
6778,Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Saciatt,4050 - 4075,,,341.0,322.47395833333337
